to articulate	formuler	articuler	anglicismes
to anticipate	annoncer, préfigurer, (selon le contexte) espérer	anticiper	anglicismes
an account	chronique, récit	accompte	anglicismes
to assist	aider	assister	anglicismes
clause	proposition (moins souvent :) phrase	clause	anglicismes
in contrast to	par opposition à	en contraste avec	anglicismes
to contrast with	s'opposer à	contraster avec	anglicismes
to be connected	être associé	être connecté	anglicismes
to connote	évoquer	connoter	anglicismes
to capture	rendre (un sentiment, une impression)	capturer	anglicismes
calling	appel, vocation		anglicismes
desolation	ruine, dévastation	désolation	anglicismes
to exhibit something	manifester quelque chose	exhiber quelque chose	anglicismes
to imply	laisser entendre, laisser supposer, insinuer	impliquer	anglicismes
to inaugurate	instaurer	inaugurer	anglicismes
is linked	est rattaché à, associé à	être lié à	anglicismes
to link something with	établir un lien entre	lier quelque chose à	anglicismes
to note	mentionner	noter	anglicismes
purpose	but, dessein, objectif		anglicismes
to recognize	reconnaître, (mais aussi :) se rendre compte, admettre, accepter, consentir		anglicismes
to record	raconter, relater, mentionner, retracer, rapporter	enregistrer	anglicismes
refer to	désigner, renvoyer à	(se) référer à	anglicismes
to relate	renvoyer à, être lié à	relater	anglicismes
to reflect	refléter, faire écho à	refléter	anglicismes
to show	montrer, illustrer, faire preuve de		anglicismes
to suggest	suggérer, laisser entendre, (mais aussi parfois :) évoquer		anglicismes
