1,000 years	1000 ans	biblica key terms
12 judges	12 juges	biblica key terms
12 tribes	12 tribus	biblica key terms
144 000	144 000	biblica key terms
24 elders	24 anciens	biblica key terms
40 days	40 jours	biblica key terms
40 years	40 ans	biblica key terms
42 months	42 mois	biblica key terms
605 BC	605 av. J.-C.	biblica key terms
666	666	biblica key terms
70 years	70 ans	biblica key terms
Aaron	Aaron	biblica key terms
Aaronʼs walking stick	Bâton d'Aaron	biblica key terms
Abba	Abba	biblica key terms
Abel	Abel	biblica key terms
Abiathar	Abiathar	biblica key terms
Abigail	Abigaïl	biblica key terms
Abijah	Abija	biblica key terms
Abimelek	Abimélek	biblica key terms
Abraham	Abraham	biblica key terms
Absalom	Absalom	biblica key terms
Abyss	Abîme	biblica key terms
Achaia	Achaïe	biblica key terms
Achan	Achan	biblica key terms
Action of prophecy	Acte prophétique	biblica key terms
AD	apr. J.-C.	biblica key terms
AD 70	70 apr. J.-C.	biblica key terms
Adam	Adam	biblica key terms
Adonijah	Adonija	biblica key terms
Adopted	Adopté	biblica key terms
Ahab	Achab	biblica key terms
Ahijah	Achija	biblica key terms
Ahimelek	Ahimélek	biblica key terms
Ai	Aï	biblica key terms
Alpha and Omega	Alpha et Oméga	biblica key terms
Alphabet poem	Poème alphabétique	biblica key terms
Altar	Autel	biblica key terms
Amalekites	Amalécites	biblica key terms
Amen	Amen	biblica key terms
Ammonites	Ammonites	biblica key terms
Amorites	Amorites	biblica key terms
Amos	Amos	biblica key terms
Andrew	André	biblica key terms
Angel	Ange	biblica key terms
Angel of the Lord	Ange du Seigneur	biblica key terms
Anointed	Oint	biblica key terms
Antioch in Pisidia	Antioche en Pisidie	biblica key terms
Antioch in Syria	Antioche en Syrie	biblica key terms
Apocalyptic writing	Écrits apocalyptiques	biblica key terms
Apollos	Apollos	biblica key terms
Apostles	Apôtres	biblica key terms
Aquila and Priscilla	Aquila et Priscille	biblica key terms
Aram	Araméens	biblica key terms
Ark	Arche	biblica key terms
Ark of the covenant	Arche de l'alliance	biblica key terms
Artaxerxes	Artaxerxès	biblica key terms
Artemis	Artémis	biblica key terms
Asa	Asa	biblica key terms
Asaph	Asaph	biblica key terms
Ashtoreth	Astarté	biblica key terms
Asia Minor	Asie Mineure	biblica key terms
Assyria	Assyrie	biblica key terms
Athaliah	Athalie	biblica key terms
Athens	Athènes	biblica key terms
Atone	Expier	biblica key terms
Baal	Baal	biblica key terms
Baal Peor	Baal Péor	biblica key terms
Babel	Babel	biblica key terms
Babylon	Babylone	biblica key terms
Balaam	Balaam	biblica key terms
Balak	Balak	biblica key terms
Baptism	Baptême	biblica key terms
Barabbas	Barabbas	biblica key terms
Barak	Barak	biblica key terms
Barnabas	Barnabas	biblica key terms
Bathsheba	Batchéba	biblica key terms
BC	av. J.-C.	biblica key terms
Beersheba	Bershéba	biblica key terms
Believe in	Croire en	biblica key terms
Believer	Croyant	biblica key terms
Benjamin	Benjamin	biblica key terms
Berea	Bérée	biblica key terms
Bethany	Béthanie	biblica key terms
Bethel	Béthel	biblica key terms
Bethlehem	Bethléem	biblica key terms
Bible	Bible	biblica key terms
Bilhah	Bilha	biblica key terms
Bless all nations	Bénir toutes les nations	biblica key terms
Blood	Sang	biblica key terms
Body of Christ	Corps du Christ	biblica key terms
Book of Enoch	Livre d'Énoch	biblica key terms
Book of life	Livre de vie	biblica key terms
Born again	Né de nouveau	biblica key terms
Brother-in-lawʼs duty	Devoir du beau-frère	biblica key terms
Burnt offerings	Holocaustes	biblica key terms
Buy back	Racheter	biblica key terms
Caesar	César	biblica key terms
Caesarea	Césarée	biblica key terms
Cain	Caïn	biblica key terms
Caleb	Caleb	biblica key terms
Cana	Cana	biblica key terms
Canaan	Canaan	biblica key terms
Capernaum	Capernaüm	biblica key terms
Cast lots	Tirer au sort	biblica key terms
Christ	Christ	biblica key terms
Christʼs law	Loi du Christ	biblica key terms
Church	Église	biblica key terms
Church elders	Anciens de l'Église	biblica key terms
Circumcision	Circoncision	biblica key terms
Citizens of heaven	Citoyens du ciel	biblica key terms
Clean or unclean	Propre ou souillé	biblica key terms
Cloud	Nuage	biblica key terms
Cloud of witnesses	Nuée de témoins	biblica key terms
Colossae	Colosses	biblica key terms
Concubines	Concubines	biblica key terms
Corinth	Corinthe	biblica key terms
Cornelius	Corneille	biblica key terms
Covenant	Alliance	biblica key terms
